height,a,b,c,mass_hex
4,2,0,4,0x1.26a0052753e48p-10
4,2,0,5,0x1.2b6cd024fc214p-12
4,2,0,6,0x1.86a09797fd1e9p-14
4,2,1,0,0x1.6f1a4f0fdd30cp-7
4,2,1,1,0x1.c483f17765f1dp-10
4,2,1,2,0x1.01e940d2a60c7p-10
4,2,1,3,0x1.0223328d883ecp-11
4,2,1,4,0x1.c9ade0fae8897p-13
4,2,1,5,0x1.c6b7ccbdbcf7p-15
4,2,2,0,0x1.e0c2b13ef47a5p-8
4,2,2,1,0x1.284f0b7f7bf38p-10
4,2,2,2,0x1.51c329abdfe9cp-11
4,2,2,3,0x1.4eee87b95e77p-12
4,2,2,4,0x1.22449239c5f6ap-13
4,2,3,0,0x1.1a706551bbebbp-8
4,2,3,1,0x1.5c273ace8163cp-11
4,2,3,2,0x1.89305e776526cp-12
4,2,3,3,0x1.7d294ff2a7aebp-13
4,2,4,0,0x1.2f1b7078121f4p-9
4,2,4,1,0x1.722c9306ef928p-12
4,2,4,2,0x1.98b1f0b1e40d9p-13
4,2,5,0,0x1.04dfd5d233603p-10
4,2,5,1,0x1.37760614d6fafp-13
4,2,6,0,0x1.c17b7059b5bf9p-12
4,3,0,0,0x1.546e4160bd1d3p-5
4,3,0,1,0x1.a3a33a70ab01cp-8
4,3,0,2,0x1.de584b1b4576p-9
4,3,0,3,0x1.dec3c30ef91e7p-10
4,3,0,4,0x1.ac6388d2c25p-11
4,3,0,5,0x1.b05f528beabf9p-13
4,3,1,0,0x1.0ae2dbf7efb8cp-7
4,3,1,1,0x1.48fb525d832dcp-10
4,3,1,2,0x1.77019a0321898p-11
4,3,1,3,0x1.7755da744332dp-12
4,3,1,4,0x1.4a7244eba1516p-13
4,3,2,0,0x1.5d841feed45a7p-8
4,3,2,1,0x1.aed6401182101p-11
4,3,2,2,0x1.eb1c6960f6db3p-12
4,3,2,3,0x1.e3a4f3c7673fdp-13
4,3,3,0,0x1.9aab8f1512bbdp-9
4,3,3,1,0x1.fa382f3ec0abfp-12
4,3,3,2,0x1.1be254fee27bfp-12
4,3,4,0,0x1.b8b8ce9a0c54ep-10
4,3,4,1,0x1.0b446e4da472ap-12
4,3,5,0,0x1.78b46ef627dc9p-11
4,4,0,0,0x1.caa266ed9b3e5p-6
4,4,0,1,0x1.1aabf41bfc6ccp-8
4,4,0,2,0x1.4237aaf981969p-9
4,4,0,3,0x1.42800f4648f2ap-10
4,4,0,4,0x1.20910b48d5d65p-11
4,4,1,0,0x1.678dcb0819f4p-8
4,4,1,1,0x1.bb35cb9189117p-11
4,4,1,2,0x1.f93718918bbc2p-12
4,4,1,3,0x1.f9a899f6ca8efp-13
4,4,2,0,0x1.d6dfdaf9ba3cbp-9
4,4,2,1,0x1.2237349ccf87ep-11
4,4,2,2,0x1.4ad11a16d7f54p-12
4,4,3,0,0x1.14a191e3de176p-9
4,4,3,1,0x1.54fe7800e1161p-12
4,4,4,0,0x1.28dfcfbc6b0a8p-10
4,5,0,0,0x1.196ff7dde8b54p-6
4,5,0,1,0x1.5aeb23d5e105dp-9
4,5,0,2,0x1.8b73d0a707bb9p-10
4,5,0,3,0x1.8bcca90d59428p-11
4,5,1,0,0x1.b94659fde9a73p-9
4,5,1,1,0x1.0ff8efcd8c749p-11
4,5,1,2,0x1.360576737eb1ap-12
4,5,2,0,0x1.20f2c983c8fdcp-9
4,5,2,1,0x1.642d55c8717fcp-12
4,5,3,0,0x1.538149a4d4987p-10
4,6,0,0,0x1.47dc0ffb6f5c5p-7
4,6,0,1,0x1.942444c34c9a7p-10
4,6,0,2,0x1.ccae5b300f979p-11
4,6,1,0,0x1.0107e792758cfp-9
4,6,1,1,0x1.3cd55bf5f4158p-12
4,6,2,0,0x1.509c0b6642f65p-10
4,7,0,0,0x1.62e3ca7c672efp-8
4,7,0,1,0x1.b575fd064949bp-11
4,7,1,0,0x1.1638bcfce0501p-10
4,8,0,0,0x1.629930a0db178p-9
